36.765864,127.274634,278.594879
36.765889,127.274604,278.609924
36.765915,127.274571,278.609375
36.765940,127.274540,278.607544
36.765886,127.274661,278.616058
36.765909,127.274630,278.612885
36.765937,127.274596,278.608521
36.765961,127.274567,278.606049
36.765905,127.274686,278.607971
36.765929,127.274656,278.607758
36.765956,127.274623,278.579865
36.765980,127.274593,278.608032
36.765926,127.274713,278.580933
36.765950,127.274682,278.608490
36.765977,127.274648,278.609161
36.766000,127.274618,278.609741
36.765946,127.274737,278.580627
36.765971,127.274706,278.609619
36.765998,127.274673,278.609589
36.766020,127.274644,278.610718
